text_clean,exclamation,emojis,links,hashtags,airline_sentiment
what said ,False,False,False,False,neutral
plus youve added commercials to the experience  tacky ,False,False,False,False,positive
i didnt today  must mean i need to take another trip ,True,False,False,False,neutral
its really aggressive to blast obnoxious  entertainment  in your guests  faces  they have little recourse,False,False,False,False,negative
and its a really big bad thing about it,False,False,False,False,negative
seriously would pay  30 a flight for seats that didnt have this playing  its really the only bad thing about flying va,False,False,False,False,negative
yes  nearly every time i fly vx this “ ear worm ” won ’ t go away ,False,False,False,False,positive
really missed a prime opportunity for men without hats parody  there  httpstcomWpG7grEZP,False,False,True,False,neutral
well  i didnt … but now i do  D,True,False,False,False,positive
it was amazing  and arrived an hour early  youre too good to me ,False,False,False,False,positive
did you know that suicide is the second leading cause of death among teens 1024,False,False,False,False,neutral
i 3 pretty graphics  so much better than minimal iconography  D,False,False,False,False,positive
this is such a great deal  already thinking about my 2nd trip to  i havent even gone on my 1st trip yet  p,True,False,False,False,positive
im flying your fabulous seductive skies again  u take all the stress away from travel httptcoahlXHhKiyn,True,False,True,True,positive
thanks ,True,False,False,False,positive
sfopdx schedule is still mia ,False,False,False,False,negative
so excited for my first cross country flight lax to mco ive heard nothing but great things about virgin america  29daystogo,False,False,False,True,positive
i flew from nyc to sfo last week and couldnt fully sit in my seat due to two large gentleman on either side of me  help ,True,False,False,False,negative
i ❤ ️ flying  ☺ ️ 👍,False,False,False,False,positive
you know what would be amazingly awesome  bosfll please    i want to fly with only you ,True,False,False,False,positive
why are your first fares in may over three times more than other carriers when all seats are available to select   ,False,False,False,False,negative
i love this graphic  httptcoUT5GrRwAaA,False,False,True,False,positive
i love the hipster innovation  you are a feel good brand ,False,False,False,False,positive
will you be making bos  las non stop permanently anytime soon ,False,False,False,False,neutral
you guys messed up my seating  i reserved seating with my friends and you guys gave my seat away  😡 i want free internet,False,True,False,False,negative
status match program  i applied and its been three weeks  called and emailed with no response ,False,False,False,False,negative
what happened 2 ur vegan food options   at least say on ur site so i know i wont be able 2 eat anything for next 6 hrs fail,True,False,False,True,negative
do you miss me  dont worry well be together very soon ,False,False,False,False,neutral
amazing to me that we cant get any cold air from the vents  vx358 noair worstflightever roasted sfotobos,False,False,False,True,negative
lax to ewr  middle seat on a red eye  such a noob maneuver  sendambien andchexmix,False,False,False,True,neutral
hi  i just bked a cool birthday trip with you  but i cant add my elevate no  cause i entered my middle name during flight booking problems 😢,True,True,False,False,negative
are the hours of operation for the club at sfo that are posted online current ,False,False,False,False,neutral
help  left expensive headphones on flight 89 iad to lax today  seat 2a  no one answering l  f number at lax ,True,False,False,False,negative
awaiting my return phone call  just would prefer to use your online selfservice option ,False,False,False,False,negative
this is great news  america could start flights to hawaii by end of year httptcor8p2Zy3fe4 via,True,False,True,False,positive
nice rt  vibe with the moodlight from takeoff to touchdown  moodlitmonday sciencebehindtheexperience httptcoY7O0uNxTQP,False,False,True,True,neutral
moodlighting is the only way to fly  best experience ever  cool and calming  💜 ✈ moodlitmonday,True,False,False,True,positive
done and done  best airline around  hands down ,True,False,False,False,positive
when can i book my flight to hawaii  ,False,False,False,False,neutral
your chat support is not working on your site  httptcovhp2GtDWPk,False,False,True,False,negative
view of downtown los angeles  the hollywood sign  and beyond that rain in the mountains  httptcoDw5nf0ibtr,True,False,True,False,positive
hey  first time flyer next week  excited  but im having a hard time getting my flights added to my elevate account  help ,True,False,False,False,negative
plz help me win my bid upgrade for my flight 227 lax  sea    🍷 👍 💺 ✈ ️,True,False,False,False,neutral
i have an unused ticket but moved to a new city where you dont fly  how can i fly with you before it expires  travelhelp,False,False,False,True,neutral
are flights leaving dallas for seattle on time feb 24 ,False,False,False,False,neutral
im elevategold for a good reason  you rock  ,True,False,False,True,positive
dream httptcooA2dRfAoQ2 httptcolWWdAc2kHx,False,False,True,False,neutral
wow this just blew my mind,False,False,False,False,positive
after last night tribute soundofmusic oscars2015  i think agree,True,False,False,True,neutral
all were entertaining,False,False,False,False,neutral
is flight 769 on its way  was supposed to take off 30 minutes ago  website still shows  on time  not  in flight   thanks ,False,False,False,False,neutral
julie andrews all the way though was very impressive  no to,True,False,False,False,positive
wish you flew out of atlanta  soon ,False,False,False,False,neutral
julie andrews  hands down ,False,False,False,False,neutral
will flights be leaving dallas for la on february 24th ,False,False,False,False,neutral
hi  im so excited about your  99 lga  dal deal  but ive been trying 2 book since last week  the page never loads  thx ,True,False,False,False,negative
you know it  need it on my spotify stat guiltypleasures,False,False,False,True,positive
im lady gaga    she is amazing  😊,True,True,False,False,positive
 carrie ,True,False,False,False,neutral
new marketing song  httpstcoF2LFULCbQ7 let us know what you think ,False,False,True,False,neutral
julie andrews first but lady gaga wowd me last night  carrie  meh ,False,False,False,False,neutral
i called a 34 weeks ago about adding 3 flights from 2014 to my elevate  they still havent shown up  help ,True,False,False,False,negative
all are great  but i have to go with carrieunderwood 😍 👌,False,True,False,True,neutral
sorry  mary martin had it first ,True,False,False,False,neutral
love all three but you really cant beat the classics ,True,False,False,False,positive
flight 0736 dal to dca 224 210 pm  tried to check in could not  status please ,False,False,False,False,neutral
heyyy guyyys  been trying to get through for an hour  can someone call me please  ,False,False,False,False,negative
hi  virgin  im on hold for 4050 minutes   are there any earlier flights from la to nyc tonight  earlier than 1150 pm ,True,False,False,False,negative
congrats on winning the award for best deals from an airline  us  httptcokj1iljaebV,False,False,True,False,positive
everything was fine until you lost my bag,False,False,False,False,negative
need to change reservation  have virgin credit card  do i need to modify on phone to waive change fee  or can i do online ,False,False,False,False,neutral
i emailed your customer service team  let me know if you need the tracking number ,False,False,False,False,neutral
hi i just booked a flight but need to add baggage  how can i do this ,False,False,False,False,neutral
your airline is awesome but your lax loft needs to step up its game   40 for dirty tables and floors  httptcohy0VrfhjHt,False,False,True,False,negative
not worried  its been a great ride in a new plane with great crew  all airlines should be like this ,False,False,False,False,positive
awesome  i flew yall sat morning  any way we can correct my bill ,False,False,False,False,positive
or watch some of the best student films in the country at 35000 feet  cmfat35000feet httptcoKEK5pDMGiF,True,False,True,True,neutral
first time flying you all  do you have a different rate  policy for media bags  thanks,False,False,False,False,neutral
what is going on with customer service  is there anyway to speak to a human asap  thank you ,False,False,False,False,negative
what happened to doom  ,True,False,False,False,neutral
why cant you supp the biz traveler like and have customer service like neverflyvirginforbusiness,False,False,False,True,negative
ive applied more then once to be a member of the inflight crew team  im 100  interested  flightattendant dreampath  g,False,False,False,True,positive
youre the best   whenever i  begrudgingly  use any other airline im delayed and late flight ,True,False,False,False,negative
i have no interesting flying with you after this  i will cancelled flight my next four flights i planned  neverflyvirginforbusiness,False,False,False,True,negative
it was a disappointing experience which will be shared with every business traveler i meet  neverflyvirgin,False,False,False,True,negative
i ’ m having trouble adding this flight my wife booked to my elevate account  help  httptcopX8hQOKS3R,False,False,True,False,negative
cant bring up my reservation online using flight booking problems code,False,False,False,False,neutral
random q  whats the distribution of elevate avatars  i bet that kitty has a disproportionate share httptcoAPtZpuROp4,False,False,True,False,neutral
i 3 flying va but life happens and i am trying to change my trip jperhi can you helpva home page will not let me ,False,False,False,True,neutral
why is the site down  when will it be back up ,False,False,False,False,negative
 you down with rnp    yeah you know me  ,True,False,False,False,neutral
hi  i did not get points on my elevate account for my most recent flight  how do i add the flight and points to my account ,False,False,False,False,neutral
i like the tv and interesting video  just disappointed in cancelled flightled flight when other flights went out to jfk on saturday ,False,False,False,False,negative
just landed in lax  an hour after i should of been here  your no late flight bag check is not business travel friendly nomorevirgin,False,False,False,True,negative
why is flight 345 redirected ,False,False,False,False,neutral
is it me  or is your website down  btw  your new website isnt a great user experience  time for another redesign ,False,False,False,False,negative
i cant check in or add a bag  your website isnt working  ive tried both desktop and mobile httptcoAvyqdMpi1Y,False,False,True,False,negative
